vgs	-I(Vds)
Step Information: Vds=600m  (Run: 1/41)
0.000000000000000e+000	1.376505e-010
2.000000000000000e-002	2.544280e-010
4.000000000000000e-002	4.701058e-010
6.000000000000000e-002	8.675637e-010
8.000000000000000e-002	1.597868e-009
1.000000000000000e-001	2.934562e-009
1.200000000000000e-001	5.368695e-009
1.400000000000000e-001	9.771852e-009
1.600000000000000e-001	1.766869e-008
1.800000000000000e-001	3.167775e-008
2.000000000000000e-001	5.619593e-008
2.200000000000000e-001	9.841180e-008
2.400000000000000e-001	1.697303e-007
2.600000000000000e-001	2.876810e-007
2.800000000000000e-001	4.783836e-007
3.000000000000000e-001	7.796578e-007
3.200000000000000e-001	1.244804e-006
3.400000000000000e-001	1.946735e-006
3.600000000000000e-001	2.981345e-006
3.800000000000001e-001	4.468006e-006
4.000000000000001e-001	6.544769e-006
4.200000000000001e-001	9.356974e-006
4.400000000000001e-001	1.304070e-005
4.600000000000001e-001	1.770527e-005
4.800000000000002e-001	2.342009e-005
5.000000000000001e-001	3.020952e-005
5.200000000000001e-001	3.805615e-005
5.400000000000002e-001	4.691000e-005
5.600000000000002e-001	5.669997e-005
5.800000000000002e-001	6.734454e-005
6.000000000000002e-001	7.876010e-005
6.200000000000002e-001	9.086635e-005
6.400000000000002e-001	1.035893e-004
6.600000000000003e-001	1.168627e-004
6.800000000000003e-001	1.306277e-004
7.000000000000003e-001	1.448327e-004
7.200000000000003e-001	1.594323e-004
7.400000000000003e-001	1.743867e-004
7.600000000000003e-001	1.896605e-004
7.800000000000004e-001	2.052223e-004
8.000000000000004e-001	2.210437e-004
8.200000000000004e-001	2.370991e-004
8.400000000000004e-001	2.533653e-004
8.600000000000004e-001	2.698208e-004
8.800000000000005e-001	2.864457e-004
9.000000000000005e-001	3.032218e-004
9.200000000000005e-001	3.201316e-004
9.400000000000005e-001	3.371591e-004
9.600000000000005e-001	3.542888e-004
9.800000000000005e-001	3.715061e-004
1.000000000000000e+000	3.887971e-004
1.020000000000001e+000	4.061480e-004
1.040000000000001e+000	4.235458e-004
1.060000000000001e+000	4.409776e-004
1.080000000000001e+000	4.584307e-004
1.100000000000001e+000	4.758924e-004
1.120000000000001e+000	4.933501e-004
1.140000000000001e+000	5.107909e-004
1.160000000000001e+000	5.282018e-004
1.180000000000001e+000	5.455694e-004
1.200000000000001e+000	5.628800e-004
1.220000000000001e+000	5.801191e-004
1.240000000000001e+000	5.972721e-004
