vgs	sqrt(abs(I(Vds)))
Step Information: Vds=600m  (Run: 1/5)
0.000000000000000e+000	1.173246e-005
2.000000000000000e-002	1.595080e-005
4.000000000000000e-002	2.168192e-005
6.000000000000000e-002	2.945444e-005
8.000000000000000e-002	3.997334e-005
1.000000000000000e-001	5.417159e-005
1.200000000000000e-001	7.327138e-005
1.400000000000000e-001	9.885268e-005
1.600000000000000e-001	1.329236e-004
1.800000000000000e-001	1.779824e-004
2.000000000000000e-001	2.370568e-004
2.200000000000000e-001	3.137066e-004
2.400000000000000e-001	4.119834e-004
2.600000000000000e-001	5.363590e-004
2.800000000000000e-001	6.916528e-004
3.000000000000000e-001	8.829823e-004
3.200000000000000e-001	1.115708e-003
3.400000000000000e-001	1.395255e-003
3.600000000000000e-001	1.726657e-003
3.800000000000001e-001	2.113766e-003
4.000000000000001e-001	2.558275e-003
4.200000000000001e-001	3.058917e-003
4.400000000000001e-001	3.611191e-003
4.600000000000001e-001	4.207763e-003
4.800000000000002e-001	4.839431e-003
5.000000000000001e-001	5.496319e-003
5.200000000000001e-001	6.168967e-003
5.400000000000002e-001	6.849088e-003
5.600000000000002e-001	7.529938e-003
5.800000000000002e-001	8.206372e-003
6.000000000000002e-001	8.874689e-003
6.200000000000002e-001	9.532384e-003
6.400000000000002e-001	1.017789e-002
6.600000000000003e-001	1.081031e-002
6.800000000000003e-001	1.142925e-002
7.000000000000003e-001	1.203464e-002
7.200000000000003e-001	1.262665e-002
7.400000000000003e-001	1.320556e-002
7.600000000000003e-001	1.377173e-002
7.800000000000004e-001	1.432558e-002
8.000000000000004e-001	1.486754e-002
8.200000000000004e-001	1.539802e-002
8.400000000000004e-001	1.591745e-002
8.600000000000004e-001	1.642622e-002
8.800000000000005e-001	1.692471e-002
9.000000000000005e-001	1.741326e-002
9.200000000000005e-001	1.789222e-002
9.400000000000005e-001	1.836189e-002
9.600000000000005e-001	1.882256e-002
9.800000000000005e-001	1.927449e-002
1.000000000000000e+000	1.971794e-002
1.020000000000001e+000	2.015311e-002
1.040000000000001e+000	2.058023e-002
1.060000000000001e+000	2.099947e-002
1.080000000000001e+000	2.141099e-002
1.100000000000001e+000	2.181496e-002
1.120000000000001e+000	2.221149e-002
1.140000000000001e+000	2.260068e-002
