vds	abs(I(Vds))
Step Information: Vgs=600m  (Run: 1/5)
0.000000000000000e+000	0.000000e+000
2.000000000000000e-002	1.182824e-005
4.000000000000000e-002	2.204670e-005
6.000000000000000e-002	3.072090e-005
8.000000000000000e-002	3.792237e-005
1.000000000000000e-001	4.373781e-005
1.200000000000000e-001	4.828573e-005
1.400000000000000e-001	5.173718e-005
1.600000000000000e-001	5.432130e-005
1.800000000000000e-001	5.629148e-005
2.000000000000000e-001	5.786848e-005
2.200000000000000e-001	5.920865e-005
2.400000000000000e-001	6.040894e-005
2.600000000000000e-001	6.152603e-005
2.800000000000000e-001	6.259282e-005
3.000000000000000e-001	6.362877e-005
3.200000000000000e-001	6.464580e-005
3.400000000000000e-001	6.565142e-005
3.600000000000000e-001	6.665056e-005
3.800000000000001e-001	6.764652e-005
4.000000000000001e-001	6.864162e-005
4.200000000000001e-001	6.963747e-005
4.400000000000001e-001	7.063528e-005
4.600000000000001e-001	7.163592e-005
4.800000000000002e-001	7.264005e-005
5.000000000000001e-001	7.364819e-005
5.200000000000001e-001	7.466072e-005
5.400000000000002e-001	7.567796e-005
5.600000000000002e-001	7.670014e-005
5.800000000000002e-001	7.772747e-005
6.000000000000002e-001	7.876010e-005
6.200000000000002e-001	7.979816e-005
6.400000000000002e-001	8.084175e-005
6.600000000000003e-001	8.189096e-005
6.800000000000003e-001	8.294586e-005
7.000000000000003e-001	8.400650e-005
7.200000000000003e-001	8.507293e-005
7.400000000000003e-001	8.614519e-005
7.600000000000003e-001	8.722331e-005
7.800000000000004e-001	8.830732e-005
8.000000000000004e-001	8.939722e-005
8.200000000000004e-001	9.049305e-005
8.400000000000004e-001	9.159481e-005
8.600000000000004e-001	9.270251e-005
8.800000000000005e-001	9.381615e-005
9.000000000000005e-001	9.493576e-005
9.200000000000005e-001	9.606131e-005
9.400000000000005e-001	9.719282e-005
9.600000000000005e-001	9.833028e-005
9.800000000000005e-001	9.947369e-005
1.000000000000000e+000	1.006230e-004
1.020000000000001e+000	1.017783e-004
1.040000000000001e+000	1.029396e-004
1.060000000000001e+000	1.041067e-004
1.080000000000001e+000	1.052798e-004
1.100000000000001e+000	1.064588e-004
1.120000000000001e+000	1.076437e-004
1.140000000000001e+000	1.088345e-004
1.160000000000001e+000	1.100312e-004
1.180000000000001e+000	1.112338e-004
1.200000000000001e+000	1.124422e-004
1.220000000000001e+000	1.136565e-004
1.240000000000001e+000	1.148766e-004
1.260000000000001e+000	1.161026e-004
1.280000000000001e+000	1.173344e-004
1.300000000000001e+000	1.185720e-004
1.320000000000001e+000	1.198154e-004
1.340000000000001e+000	1.210646e-004
1.360000000000001e+000	1.223195e-004
1.380000000000001e+000	1.235803e-004
1.400000000000001e+000	1.248467e-004
1.420000000000001e+000	1.261189e-004
1.440000000000001e+000	1.273969e-004
1.460000000000001e+000	1.286805e-004
1.480000000000001e+000	1.299699e-004
1.500000000000001e+000	1.312649e-004
1.520000000000001e+000	1.325656e-004
1.540000000000001e+000	1.338720e-004
1.560000000000001e+000	1.351840e-004
1.580000000000001e+000	1.365016e-004
1.600000000000001e+000	1.378249e-004
1.620000000000001e+000	1.391537e-004
1.640000000000001e+000	1.404882e-004
1.660000000000001e+000	1.418282e-004
1.680000000000001e+000	1.431738e-004
1.700000000000001e+000	1.445250e-004
1.720000000000001e+000	1.458817e-004
1.740000000000001e+000	1.472439e-004
1.760000000000001e+000	1.486116e-004
1.780000000000001e+000	1.499849e-004
