vds	d(abs(I(Vds)))/d(VDS)
Step Information: Vgs=600m  (Run: 1/5)
0.000000000000000e+000	0.000000e+000
2.000000000000000e-002	5.511674e-004
4.000000000000000e-002	4.723166e-004
6.000000000000000e-002	3.968918e-004
8.000000000000000e-002	3.254227e-004
1.000000000000000e-001	2.590840e-004
1.200000000000000e-001	1.999843e-004
1.400000000000000e-001	1.508893e-004
1.600000000000000e-001	1.138573e-004
1.800000000000000e-001	8.867937e-005
2.000000000000000e-001	7.292947e-005
2.200000000000000e-001	6.351165e-005
2.400000000000000e-001	5.793436e-005
2.600000000000000e-001	5.459679e-005
2.800000000000000e-001	5.256861e-005
3.000000000000000e-001	5.132461e-005
3.200000000000000e-001	5.056627e-005
3.400000000000000e-001	5.011898e-005
3.600000000000000e-001	4.987742e-005
3.800000000000001e-001	4.977646e-005
4.000000000000001e-001	4.977373e-005
4.200000000000001e-001	4.984158e-005
4.400000000000001e-001	4.996127e-005
4.600000000000001e-001	5.011934e-005
4.800000000000002e-001	5.030670e-005
5.000000000000001e-001	5.051661e-005
5.200000000000001e-001	5.074417e-005
5.400000000000002e-001	5.098555e-005
5.600000000000002e-001	5.123784e-005
5.800000000000002e-001	5.149905e-005
6.000000000000002e-001	5.176717e-005
6.200000000000002e-001	5.204129e-005
6.400000000000002e-001	5.232014e-005
6.600000000000003e-001	5.260263e-005
6.800000000000003e-001	5.288839e-005
7.000000000000003e-001	5.317688e-005
7.200000000000003e-001	5.346737e-005
7.400000000000003e-001	5.375932e-005
7.600000000000003e-001	5.405309e-005
7.800000000000004e-001	5.434777e-005
8.000000000000004e-001	5.464335e-005
8.200000000000004e-001	5.493985e-005
8.400000000000004e-001	5.523652e-005
8.600000000000004e-001	5.553356e-005
8.800000000000005e-001	5.583115e-005
9.000000000000005e-001	5.612892e-005
9.200000000000005e-001	5.642651e-005
9.400000000000005e-001	5.672428e-005
9.600000000000005e-001	5.702186e-005
9.800000000000005e-001	5.731908e-005
1.000000000000000e+000	5.761631e-005
1.020000000000001e+000	5.791335e-005
1.040000000000001e+000	5.820984e-005
1.060000000000001e+000	5.850616e-005
1.080000000000001e+000	5.880211e-005
1.100000000000001e+000	5.909751e-005
1.120000000000001e+000	5.939273e-005
1.140000000000001e+000	5.968723e-005
1.160000000000001e+000	5.998136e-005
1.180000000000001e+000	6.027494e-005
1.200000000000001e+000	6.056798e-005
1.220000000000001e+000	6.086048e-005
1.240000000000001e+000	6.115242e-005
1.260000000000001e+000	6.144401e-005
1.280000000000001e+000	6.173486e-005
1.300000000000001e+000	6.202499e-005
1.320000000000001e+000	6.231458e-005
1.340000000000001e+000	6.260379e-005
1.360000000000001e+000	6.289210e-005
1.380000000000001e+000	6.317969e-005
1.400000000000001e+000	6.346709e-005
1.420000000000001e+000	6.375376e-005
1.440000000000001e+000	6.403934e-005
1.460000000000001e+000	6.432492e-005
1.480000000000001e+000	6.460941e-005
1.500000000000001e+000	6.489317e-005
1.520000000000001e+000	6.517657e-005
1.540000000000001e+000	6.545924e-005
1.560000000000001e+000	6.574119e-005
1.580000000000001e+000	6.602240e-005
1.600000000000001e+000	6.630326e-005
1.620000000000001e+000	6.658302e-005
1.640000000000001e+000	6.686241e-005
1.660000000000001e+000	6.714108e-005
1.680000000000001e+000	6.741866e-005
1.700000000000001e+000	6.769624e-005
1.720000000000001e+000	6.797309e-005
1.740000000000001e+000	6.824848e-005
1.760000000000001e+000	6.852388e-005
